Info 0    [15:40:1.195] Starting TS Server
Info 46   [15:40:3.336] Structure before ensureProjectForOpenFiles:
Info 47   [15:40:3.336] Structure after ensureProjectForOpenFiles:
Info 48   [15:40:3.336] got projects updated in background, updating diagnostics for w:/SimpleServers/js/src/database/database.js
Info 49   [15:40:3.436] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [15:40:3.441] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 5ms
Info 51   [15:40:3.442] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [15:40:3.652] Structure before ensureProjectForOpenFiles:
Info 53   [15:40:3.652] Structure after ensureProjectForOpenFiles:
Info 54   [15:40:3.652] got projects updated in background, updating diagnostics for w:/SimpleServers/js/src/database/database.js
Info 55   [15:40:6.80] Search path: w:/SimpleServers/js/src/database
Info 56   [15:40:6.80] For info: w:/SimpleServers/js/src/database/buds.js :: No config files found.
Info 57   [15:40:6.81] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 58   [15:40:6.259] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 178ms
Info 59   [15:40:6.259] Project '/dev/null/inferredProject2*' (Inferred) 
Info 60   [15:40:6.259] 	Files (101)

Info 61   [15:40:6.259] -----------------------------------------------
Info 62   [15:40:6.260] `remove Project::
Info 63   [15:40:6.260] Project '/dev/null/inferredProject1*' (Inferred) 
Info 64   [15:40:6.260] 	Files (100)

Info 65   [15:40:6.260] -----------------------------------------------
Info 66   [15:40:6.433] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 67   [15:40:6.438] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 5ms
Info 68   [15:40:6.438] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 69   [15:40:6.631] Structure before ensureProjectForOpenFiles:
Info 70   [15:40:6.631] Structure after ensureProjectForOpenFiles:
Info 71   [15:40:6.631] got projects updated in background, updating diagnostics for w:/SimpleServers/js/src/database/database.js,w:/SimpleServers/js/src/database/buds.js
Info 72   [16:39:9.812] Exiting...
